x,y,label,data,node
7,4,Social Connectedness,"from [Ang](https://www.sciencedirect.com/science/article/pii/S1040260818301874): 

> Social connectedness is a general term broadly encompassing the quantity, quality, frequency, type and network structure of one's relationships with friends, family, and the community. Being socially connected depends on one's relationships with close friends and family, as well as broader aspects of social life such as participation in social activities organized by clubs and associations.

From [Toepoel](https://pubmed.ncbi.nlm.nih.gov/23874058/):

- Social connectedness is difficult to measure — quantity and quality are both important aspects
    - **Objective measures:** number of social gatherings, number of close contacts
    - **Subjective measures:** satisfaction with social contacts, feelings of isolation or loneliness
- The concept has circular logic: it leads to positive outcomes (e.g. participation in group activities) and is also a result of those same outcomes
- Determining the mechanisms that cause the 'virtuous circle' can be unclear",0
5.5,6.5,Social Capital,"### Social Capital and Health: A Review of Prospective Multilevel Studies

[View source](https://dash.harvard.edu/bitstream/handle/1/11879243/3798618.pdf)

According to Coleman and Putnam, **social capital** refers to features of a social structure that facilitate actions of people in the structure. 

In the **social cohesion** definition, social capital is understood in terms of the structure as a whole, whereas in the **network theory** it's framed on an individual level. 

Social capital can also be subdivided into four kinds: 

1. **Structural:** observable characteristics like social organization or civic engagement
2. **Cognitive:** someone's subjective perception of characteristics like trust and reciprocity
3. **Bonding:** relationships between members of the social structure with shared characteristics
4. **Bridging:** connections between individuals with different amounts of power

### Relationship to social connectedness

From Kawachi and Berkman:

> A useful distinction can be drawn here between social capital and social networks. Social networks are a characteristic that can (and most often has been) be measured at the individual level, whereas social capital should be properly considered a feature of the collective (neighborhood, community, society) to which the individual belongs. It makes no sense to measure an individual's social capital. In theory, a well-connected individual (one who has lots of friends and close relatives) could experience different life chances and health outcomes depending on whether he or she resides in an environment that is rich or poor in social capital. (176-177)

An individual's social connectedness may contribute to a social structure's bonding social capital.

### Relationship to health

There have been studies investigating the relationship between social capital and health. One study ([Social Cohesion, Social Capital, and Health](https://oxfordmedicine.com/view/10.1093/med/9780195377903.001.0001/med-9780195377903-chapter-8) by Kawachi and Berkman) suggested four ways that social capital can influence health:

1. Diffusion of knowledge on health promotion
2. Maintenance of healthy behavioral norms through informal social control
3. Promotion of access to local services and amenities
4. Psychological processes that provide affective support and mutual respect

A relationship between social capital and health could be causal, but it could go either way (having social capital improves health outcomes **or** being healthy increases social capital).

#### Social capital, health, and life satisfaction in 50 countries

[View source](https://www.sciencedirect.com/science/article/pii/S1353829211001146)

Using a study that asked questions relating to bonding, bridging, and linking social capital and self-rated health and life satisfaction, Elgar et al. found that social capital's health benefits for individuals are stronger in countries with more social capital. 

#### The social context of well-being

[View source](https://www.semanticscholar.org/paper/The-social-context-of-well-being.-Helliwell-Putnam/f9298edea85e5c60d4c5ef8b812e2dd2e15d653e)

This study also finds that social capital is strongly linked to a person's subjective well-being.",1
3,5,Physical Health,"Subtopics: 'Cognition', 'Mortality Risk', 'Blood Pressure', 'Immune System', 'Disease' 

### Relationship to social connectedness

[View source](https://pubmed.ncbi.nlm.nih.gov/20668659/)

The two main theoretical models for how social relationships influence health are the **stress buffering model** and the **main effects model**.

In the stress buffering model, social relationships are thought to provide resources that improve responses to stress and therefore buffer their effects on health.

The main effects model suggests that social relationships are associated with other influences that improve health, such as following norms for healthy behaviours.

#### A qualitative study of social connectedness and its relationship to community health programs in rural Chiapas, Mexico

[View source](https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-09008-6)

Health interventions themselves can increase social connectedness, since community health clinics can link patients to resources, improve communication, and provide a space for community interactions.",2
2,2,Immune System,"### Social Regulation of Human Gene Expression: Mechanisms and Implications for Public Health

[View source](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3786751/)

Studies in social genomics can reveal certain gene programs that are sensitive to social conditions, but may not explain *why* they evolved that way. For example, it's been shown that when faced with socially adverse circumstances, the human body shifts resources from antiviral to inflammatory defenses. One explanation for this is that in hunter-gatherer conditions, a robust social life meant an increased vulnerability to diseases transmitted through social contact (like viral infections), but being isolated decreased that risk and instead increased the likelihood of wound-mediated bacterial infection.",3
3.5,8.5,Cognition,"### Perceived social isolation and cognition

[View source](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2752489/)

A longitudinal study by Wilson et al. involving 823 older adults indicates that loneliness is a predictor of cognitive decline in domains such as global cognition, perceptual speed, and visuospatial ability.

### An Evaluation of Social Bridging and Bonding Mechanisms in the Association of Social Networks and Cognitive Function

[View source](https://europepmc.org/article/PMC/PMC8680955)

This study found that measures associated with social bridging were predictive of increased cognitive function in older adults but that those associated with social bonding had no observable effect.",4
1,4.5,Blood Pressure,"### Loneliness is a unique predictor of age-related differences in systolic blood pressure

[View source](https://pubmed.ncbi.nlm.nih.gov/16594800/)

In a study of 229 Americans, Hawkley et al. found that loneliness was associated with elevated systolic blood pressure.",5
3.5,1,Disease,"### Social connectedness can inhibit disease transmission: Social organization, cohesion, village context and infection risk in rural Ecuador

[View source](https://europepmc.org/article/MED/23078481)

A study of 18 villages in a northern Ecuadorian province conducted by Zelner et al. found that villages with high degrees of connectivity have lower risk of diarrheal disease and fever. They posit that villages which are more remote experience decreased risk not only because they have less contact with outside individuals, but because there is more cohesion and social organization which helps improve sanitation and hygiene.",6
2.5,7.5,Mortality Risk,"### Social relationships and mortality risk: a meta-analytic review

[View source](https://pubmed.ncbi.nlm.nih.gov/20668659/)

This meta-analytic review extracted data from 148 studies and found that individuals with adequate social relationships have a 50% greater likelihood of survival (an odds ratio (OR) of 1.5) than those with insufficient relationships — comparable with quitting smoking. Social relationships are more predictive of mortality risk when complex measures of social integration are used (OR=1.91) rather than a simple structural measure such as marital status (OR=1.33).",7
9.5,5,Mental Health,"Subtopics: 'Depression'",8
10.5,4.5,Depression,"### Social group memberships protect against future depression, alleviate depression symptoms and prevent depression relapse

[View source](https://pubmed.ncbi.nlm.nih.gov/24331897/)

- Research suggests that low social connectedness is related to depression and increases vulnerability to depression in the future
- Study investigates the benefits of social connectedness for people who already have depression and its protective benefits for those who may become depressed
- Uses population data to show that belonging to fewer social groups is a predictor of depression and that the benefits of social groups are higher for people with depression than those without",9
